場所名稱,場所地址,區域代碼,緯度,經度,場所分類,場所類型,AED放置地點,AED地點描述,第1近AED距離_公尺,第2近AED距離_公尺,第3近AED距離_公尺,最近急救醫院,至最近醫院距離_公尺,預估送醫車程_分鐘
臺北市大龍養護中心,民族西路105號1樓,63000060,25.069011,121.516978,其他,其他場所,1樓護理站,AED位置在臺北市大龍養護中心1樓護理站處,42.2,49.7,209.6,馬偕紀念醫院(台北院區),1298.1,2.6
台北市私立崇生康復之家,重慶北路2段188號3樓,63000060,25.062297,121.513358,其他,其他場所,機構活動區,"機構活動區,入門即看見",59.2,100.6,118.8,馬偕紀念醫院(台北院區),995.9,2.0
臺北市私立靜修高級中學,寧夏路59號,63000060,25.057931,121.515496,學校、大型集會場所,高中職,警衛室,AED目前設置於警衛室,124.4,172.4,205.8,馬偕紀念醫院(台北院區),677.6,1.4
臺北市大龍老人住宅,民族西路105號4樓,63000060,25.068726,121.517358,其他,其他場所,臺北市大龍老人住宅,4樓老人住宅入口左側大廳服務台旁,49.7,91.1,203.1,馬偕紀念醫院(台北院區),1253.9,2.5
台北市河濱自行車租借站大稻埕站,民生西路底，大稻埕疏散門進入，大稻埕碼頭旁。,63000060,25.056367,121.507598,其他,其他場所,大稻埕租車站貨櫃內,台北市河濱自行車租借站大稻埕站，民生西路底，大稻埕疏散門進入，大稻埕碼頭旁。,31.5,265.6,341.3,臺北市立聯合醫院(中興院區),652.1,1.3
sky fitness,承德路三段9-1號,63000060,25.063301,121.518681,其他,其他場所,入口右手邊,入口處右手邊,85.6,107.0,114.6,馬偕紀念醫院(台北院區),658.0,1.3
康達盛通生活事業股份有限公司臺北重慶分公司(家樂福重慶店),重慶北路二段171號,63000060,25.059148,121.513807,大型購物場所,賣場,B1收銀線,B1收銀線結帳處,56.6,136.4,177.1,馬偕紀念醫院(台北院區),852.0,1.7
臺北市私立志仁高級中學職業進修學校,南京西路64巷17號,63000060,25.052162,121.518758,學校、大型集會場所,高中職,1樓辦公室,1樓辦公室進門右手邊,58.5,71.4,94.2,馬偕紀念醫院(台北院區),763.4,1.5
桑富士運動俱樂部,平陽街29號,63000060,25.055138,121.516998,學校、大型集會場所,健身房,一樓櫃台正前方牆面,文化京都大樓1樓右側進入桑富士 一樓櫃台正前方牆面,98.3,98.3,151.8,馬偕紀念醫院(台北院區),631.0,1.3
臺北市政府工務局衛生下水道工程處,酒泉街235號,63000060,25.0725688,121.5104486,其他,其他場所,本處一樓大廳,本處一樓大廳,0.0,233.9,364.4,馬偕紀念醫院(台北院區),1975.8,4.0
臺北市政府警察局刑事警察大隊,重慶北路二段219號,63000060,25.06095826,121.5137266,公眾服務單位設施,警察分局,1樓值班台及3樓特勤中隊值班台入口,3樓特勤中隊值班台入口,0.0,152.9,171.9,馬偕紀念醫院(台北院區),904.2,1.8
臺北市政府警察局大同分局寧夏路派出所,錦西街200號,63000060,25.05222458,121.5117383,公眾服務單位設施,派出所,一樓值勤臺右斜前方,一樓寧夏路派出所值勤臺右斜前方(大門入口的左側),7.9,133.7,157.3,臺北市立聯合醫院(中興院區),259.2,0.5
臺北市政府警察局大同分局民生西路派出所,保安街47-1號,63000060,25.059224,121.512054,公眾服務單位設施,派出所,值班台左後方，受理報案區,大同分局民生所AED置放於值班台左後方，受理報案區。,128.5,177.1,242.5,臺北市立聯合醫院(中興院區),962.8,1.9
臺北市政府警察局大同分局民族路派出所,重慶北路三段168號,63000060,25.068829,121.51348,公眾服務單位設施,派出所,進門右手邊角落(警報台旁),民族派出所進門右手邊角落(警報台旁),325.1,333.0,347.7,馬偕紀念醫院(台北院區),1460.9,2.9
臺北市政府警察局交通警察大隊大同分隊,昌吉街57號5樓之2,63000060,25.066061,121.515106,其他,其他場所,民眾洽公服務區,大同交通分隊民眾洽公服務區右上角落處,0.0,1.3,125.7,馬偕紀念醫院(台北院區),1118.6,2.2
臺北市政府警察局大同分局延平派出所,延平北路一段86號,63000060,25.052166,121.511693,公眾服務單位設施,派出所,值班台旁,大同分局延平派出所值班台旁,7.9,125.9,150.5,臺北市立聯合醫院(中興院區),251.7,0.5
臺北市政府警察局大同分局建成派出所,承德路1段80號,63000060,25.052725,121.517341,公眾服務單位設施,派出所,值班台右後側,台北市政府警察局大同分局建成派出所,63.7,110.3,156.0,馬偕紀念醫院(台北院區),788.5,1.6
臺北市政府警察局大同分局重慶北路派出所,重慶北路三段320之2號,63000060,25.075351,121.513553,公眾服務單位設施,派出所,值勤臺右側,派出所值勤臺右側,74.2,74.2,74.2,馬偕紀念醫院(台北院區),2080.4,4.2
臺北市政府警察局刑事警察大隊,重慶北路二段219號,63000060,25.06095826,121.5137266,公眾服務單位設施,警察分局,1樓入口右邊,1樓入口右邊,0.0,152.9,171.9,馬偕紀念醫院(台北院區),904.2,1.8
