場所名稱,場所地址,區域代碼,緯度,經度,場所分類,場所類型,AED放置地點,AED地點描述
美商泰優股份有限公司台灣分公司,民權東路三段2號5樓,63000040,25.0621023,121.5376446,其他,其他場所,公司大廳,公司大廳右側
萬海航運股份有限公司(內湖辦公室),新湖一路361號,63000100,25.06365669,121.5843356,其他,其他場所,B棟2樓門口旁,B棟2樓面對門口左邊
育達高級中等學校-雙語國小/國中/高中部,寧安街52號,63000010,25.05054908,121.5545238,學校、大型集會場所,國中,思源大樓,大廳入口處
臺北市政府社會局委託財團法人伊甸社會福利基金會經營管理臺北市興隆團體家庭,木柵路2段138巷33號3樓,63000080,24.9887036,121.5617427,其他,其他場所,機構辦公室,興隆社宅A棟
擊客基地,復興北路369號B1,63000010,25.0626001,121.5447579,其他,其他場所,入口處,入口柱子上
家福股份有限公司台北桂林分公司(家樂福桂林店),桂林路1號,63000070,25.037743,121.50629,大型購物場所,賣場,三樓扶梯口,三樓廁所門口
華信航空股份有限公司,台北市松山區敦化北路405巷123弄3號,63000010,25.06304,121.557636,長距離交通工具,航空器,B16862飛機,B16862飛機
臺北市政府環境保護局內湖垃圾焚化廠(葫蘆洲運動公園),安康路228巷20號,63000100,25.061926,121.604383,學校、大型集會場所,健身中心,游泳池,游泳池入口處左手邊
JOV FIT健身流,復興南路二段27號B2,63000030,25.0320626,121.5438507,學校、大型集會場所,健身房,JOV FIT健身流,台北市大安區復興南路二段27號B2場內靠門口柱子上
元大人壽元泰廣場,南京東路二段77號,63000040,25.0523188,121.5310963,其他,其他場所,台北市南京東路二段77號,B1F收發室
臺北市立景美國民中學,景中街27號,63000080,24.993264,121.543062,學校、大型集會場所,國中,景美國中,會議室一門口
香港商鈦澤集團有限公司-台灣分公司,民權東路三段2-1號2樓,63000040,25.0621,121.537862,其他,其他場所,進門右手邊走到底課表公布欄旁,進門右手邊走到底課表公布欄旁
長榮海運股份有限公司(臺北市),民生東路二段166號,63000040,25.057692,121.53409,其他,其他場所,一樓大廳,一樓大廳
中鼎工程公司,中山北路六段89號,63000110,25.105726,121.524397,其他,其他場所,1F大廳服務台旁,中鼎工程公司
臺北市立實踐國民中學,辛亥路7段67號,63000080,24.9834247,121.5547619,學校、大型集會場所,國中,實踐國中實踐樓2樓川堂,實踐樓2樓川堂
臺北市立實踐國民中學,辛亥路7段67號,63000080,24.9834247,121.5547619,學校、大型集會場所,國中,活動中心2樓通廊,活動中心2樓通廊
